sample,rName,r_num,original_samp_ID,bc,cell,runID,type,host,collaborator,institution,proj,stage,sex,park,town,county,state,environment,animal,antibiotic,group
RL70,t_352,352,RL70,lbc29,D01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL71,t_353,353,RL71,lbc30,D01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL72,t_354,354,RL72,lbc37,D01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL73,t_355,355,RL73,lbc38,D01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL74,t_356,356,RL74,lbc39,D01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL75,t_357,357,RL75,lbc40,D01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL76,t_358,358,RL76,lbc42,D01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL77,t_359,359,RL77,lbc43,D01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL78,t_360,360,RL78,lbc44,D01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL79,t_361,361,RL79,lbc47,D01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL80,t_362,362,RL80,lbc66,D01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL81,t_363,363,RL81,lbc72,D01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL82,t_364,364,RL82,lbc49,D01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL83,t_365,365,RL83,lbc50,D01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL84,t_366,366,RL84,lbc51,D01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL85,t_367,367,RL85,lbc52,D01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL86,t_368,368,RL86,lbc53,D01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL87,t_369,369,RL87,lbc54,D01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL88,t_370,370,RL88,lbc56,D01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL89,t_371,371,RL89,lbc68,D01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL90,t_372,372,RL90,lbc69,D01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL91,t_373,373,RL91,lbc70,D01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
RL92,t_374,374,RL92,lbc90,D01,r54257_20200728_141738,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Anthony Chabot Regional,oakland,almeda,CA,park,no,no,yes
Isolation control,t_375,375,Isolation control,lbc91,D01,r54257_20200728_141738,control,,lane,UCB,tick,,,,,,,,,,
PCR control,t_376,376,PCR control,lbc92,D01,r54257_20200728_141738,control,,lane,UCB,tick,,,,,,,,,,
