OTU_ID,Pathogen
OTU_310_Friedmanniella_luteola,No
OTU_1909_Frigoribacterium_faeni,No
OTU_1091_Frigoribacterium_mesophilum,No
OTU_1119_Frondihabitans_peucedani,No
OTU_1801_Frondihabitans_sucicola,No
OTU_2009_Frondihabitans_sucicola,No
OTU_2285_Frondihabitans_sucicola,No
OTU_375_Frondihabitans_sucicola,No
OTU_40_Frondihabitans_sucicola,No
OTU_627_Frondihabitans_sucicola,No
OTU_831_Frondihabitans_sucicola,No
OTU_969_Gaiella_occulta,No
OTU_1604_Galbitalea_soli,No
OTU_363_Geitlerinema_sp,No
OTU_638_Geitlerinema_sp,No
OTU_725_Gemella_haemolysans,Yes
OTU_81_Gemmata_obscuriglobus,No
OTU_1345_Gemmatimonas_aurantiaca,No
OTU_1520_Gemmatimonas_aurantiaca,No
OTU_691_Gemmatimonas_aurantiaca,No
OTU_951_Gemmatimonas_aurantiaca,No
OTU_1193_Geoalkalibacter_ferrihydriticus,No
OTU_63_Geobacillus_thermodenitrificans,No
OTU_2171_Geobacter_argillaceus,No
OTU_2173_Geobacter_argillaceus,No
OTU_227_Geobacter_argillaceus,No
OTU_2291_Geobacter_bemidjiensis,No
OTU_1334_Geobacter_luticola,No
OTU_1853_Geobacter_pickeringii,No
OTU_631_Geobacter_pickeringii,No
OTU_1134_Geobacter_sulfurreducens,No
OTU_170_Geodermatophilus_brasiliensis,No
OTU_1132_Geothrix_fermentans,No
OTU_1046_Gloeobacter_kilaueensis,No
OTU_618_Gloeobacter_kilaueensis,No
OTU_629_Gloeobacter_violaceus,No
OTU_654_Gloeobacter_violaceus,No
OTU_1031_Gloeocapsa_sp,No
OTU_1653_Gloeocapsa_sp,No
OTU_351_Gloeocapsa_sp,No
OTU_640_Gloeocapsa_sp,No
OTU_822_Gloeocapsa_sp,No
OTU_1255_Gluconacetobacter_entanii,No
OTU_219_Gluconacetobacter_takamatsuzukensis,No
OTU_320_Gluconacetobacter_takamatsuzukensis,No
OTU_1991_Gluconacetobacter_tumulisoli,No
OTU_341_Gordonia_sp,No
OTU_1916_Granulibacter_bethesdensis,Yes
OTU_2127_Granulibacter_bethesdensis,Yes
OTU_688_Granulibacter_bethesdensis,Yes
OTU_1077_Granulicatella_adiacens,Yes
OTU_634_Granulicella_arctica,No
OTU_1503_Granulicella_mallensis,No
OTU_1631_Granulicella_mallensis,No
OTU_1783_Granulicella_mallensis,No
OTU_2245_Granulicella_mallensis,No
OTU_576_Granulicella_mallensis,No
OTU_1713_Granulicella_pectinivorans,No
OTU_637_Granulicella_tundricola,No
